borough,Borough House Prices (nov 2025),Borough_Nut_Rent
Barking and Dagenham,357257,485
Barnet,"603,111",819
Bexley,"410,560",558
Brent,"542,514",737
Bromley,"534,443",726
Camden,"800,930",1088
City of London,"662,392",900
Croydon,"408,013",554
Ealing,"568,166",772
Enfield,"476,864",648
Greenwich,"474,543",645
Hackney,"625,292",850
Hammersmith and Fulham,"738,593",1004
Haringey,"613,428",833
Harrow,"527,884",717
Havering,"449,433",611
Hillingdon,"472,983",643
Hounslow,"528,405",718
Islington,"685,840",932
Kensington and Chelsea,"1,184,811",1610
Kingston upon Thames,"582,206",791
Lambeth,"547,962",745
Lewisham,"495,338",673
Merton,"608,575",827
Newham,"403,436",548
Redbridge,"472,936",643
Richmond upon Thames,"767,961",1043
Southwark,"596,674",811
Sutton,"449,159",610
Tower Hamlets,"472,909",643
Waltham Forest,"527,902",717
Wandsworth,"688,570",936
City of Westminster,"866,170",1177
