Tree,Food squirrels can eat (Yes / No)
Maple,Yes
Field Maple,Yes
Ash,Yes
Cappadocian Maple,Yes
Ashleaf Maple,Yes
Norway Maple,Yes
Sycamore,Yes
Silver Maple,Yes
Red Horse-chestnut,No
Juneberry,Yes
Horse-chestnut,No
Hawthorn,Yes
Magnolia,Yes
Pear,Yes
Whitebeam,Yes
Tree-of-heaven,Yes
Italian Alder,Yes
Alder,Yes
Grey Alder,Yes
Birch,Yes
White Birch,Yes
Apple,Yes
Silver Birch,Yes
Paper Birch,Yes
Downy Birch,Yes
Himalayan Birch,Yes
Beech,Yes
Hornbeam,Yes
Turkish Hazel,Yes
Sweet Chestnut,Yes
Indian-bean-tree,No
Nettle Tree,Yes
Lawson's Cypress,No
Midland Hawthorn,Yes
Broad-leaved Cockspurthorn,Yes
Hybrid Cockspurthorn,Yes
A Conifer,No
Manna Ash,Yes
Maidenhair-tree,Yes
Honey Locust,Yes
Holly,Yes
Walnut,Yes
Pride-of-India,No
Privet,Yes
Tree Privet,Yes
Sweet Gum,Yes
Tulip-tree,Yes
Purple Crab,Yes
Cultivated Apple,Yes
Crab Apple,Yes
Cherry,Yes
Dawn Redwood,No
Poplar,Yes
Persian Ironwood,No
Austrian Pine,No
Scots Pine,No
London Plane,Yes
White Poplar,Yes
Black-poplar,Yes
Aspen,Yes
Wild Cherry,Yes
Oak,Yes
Cherry Plum,Yes
Wild Plum,Yes
Cherry Laurel,Yes
Bird Cherry,Yes
Japanese Cherry,Yes
Blackthorn,Yes
Pyrus Species,Yes
Turkey Oak,Yes
Evergreen Oak,Yes
Pedunculate Oak,Yes
Willow,Yes
Red Oak,Yes
False-acacia,Yes
White Willow,Yes
Yew,No
Goat Willow,Yes
Common Whitebeam,Yes
Rowan,Yes
Swedish Whitebeam,Yes
Linden,Yes
Western Red-cedar,No
Caucasian Lime,Yes
Small-leaved Lime,Yes
Lime,Yes
Large-leaved Lime,Yes
Elm,Yes
English Elm,Yes
Jacquemont's Birch,Yes
Leyland Cypress,No
Weeping willow,Yes
Crack-willow,Yes
Narrow-leaved Ash,Yes
Cotonoaster,Yes
European Silver-fir,No
A Flowering Plant,No
Horse chestnut,No
Desert Willow,No
Golden Chain Tree,No
Rehder Wingnut,Yes
Black Locust,Yes
Chestnut,Yes
Red Maple,Yes
Fraser Fir,No
Giant Fir,No
Nottingham medlar,Yes
Sweet Olive,Yes
Fragrant viburnum,Yes
Colorado White-fir,No
Korean Fir,No
Caucasian Fir,No
Noble Fir,No
Snakebark Maple,Yes
Paperbark Maple,Yes
Montpellier Maple,Yes
Smooth Japanese-maple,Yes
Variegated Norway-Maple,Yes
Brilliant Sycamore,Yes
Grey-budded Snake-bark-maple,Yes
Sugar Maple,Yes
Yellow Buckeye,No
Indian Horse-chestnut,No
Black Birch,Yes
Monkey-puzzle,Yes
Strawberry-tree,Yes
Paper Mulberry,Yes
Box,No
Californian Incense-cedar,No
Cedar,No
Atlas Cedar,No
Deodar,No
Cedar-of-Lebanon,No
Katsura Tree,Yes
Judas-tree,Yes
Hinoki Cypress,No
Cabbage-palm,Yes
Japanese Dogwood,Yes
Cornelian-cherry,Yes
Dogwood,Yes
Hazel,Yes
Cockspurthorn,Yes
Bean,No
Japanese Red-cedar,No
Monterey Cypress,No
Quince,Yes
Dove-tree,No
Cider Gum,No
Spindle,Yes
Dawyck Beech,Yes
Pendulous Beech,Yes
Fig,Yes
White Ash,Yes
One-Leaved Ash,Yes
Golden Ash,Yes
Red Ash,Yes
Smooth Arizona-Cypress,No
Black Walnut,Yes
Juniper,Yes
Golden Rain,Yes
European Larch,No
Japanese Larch,No
Bay,Yes
Wild Privet,Yes
Siberian Crab,Yes
Japanese Crab,Yes
Hupeh Crab,Yes
Medlar,Yes
White Mulberry,Yes
Black Mulberry,Yes
Antarctic Beech,Yes
Tupelo,Yes
Olive,Yes
Hop Hornbeam,Yes
Foxglove-tree,No
Norway Spruce,No
Brewer Spruce,No
Serbian Spruce,No
Colorado Spruce,No
Sitka Spruce,No
Pine,No
Dwarf Mountain-pine,No
Maritime Pine,No
Stone Pine,Yes
Western Yellow-pine,No
Monterey Pine,No
Weymouth Pine,No
Bhutan Pine,No
Plane,Yes
Oriental Plane,Yes
Almond,Yes
Eastern Balsam-poplar,Yes
Grey Poplar,Yes
Female Lombardy Poplar,Yes
Hybrid Black-poplar,Yes
Bullace,Yes
Portugal Laurel,Yes
Manchurian cherry,Yes
Douglas Fir,No
Caucasian Wingnut,Yes
Willow-leaved Pear,Yes
Chestnut-leaved Oak,Yes
Lucombe Oak,Yes
Scarlet Oak,Yes
Hungarian oak,Yes
Pin Oak,Yes
Sessile Oak,Yes
Willow Oak,Yes
Cypress Oak,Yes
Turner's Oak,Yes
Stag's-horn Sumach,Yes
Bay Willow,Yes
Elder,Yes
Coastal Redwood,No
Wellingtonia,No
Silver Lime,Yes
Tamarisk,No
Broad-leaved Whitebeam,Yes
Wild Service-tree,Yes
Pagoda tree,Yes
Lilac,No
African Tamarisk,No
Swamp Cypress,No
Wych Elm,Yes
Dutch Elm,Yes
Small Leaved Elm,Yes
Small-leaved Elm,Yes
Plant,No
Guelder-rose,Yes
Laurustinus,Yes
Nootka Cypress,No
Japanese Elm,Yes
Conifer,No
Red Alder,Yes
Hedge Barberry,Yes
Tree Cotoneaster,Yes
Waterer's Cotoneaster,Yes
Italian Cypress,No
Shrubby Snow-gum,No
Evergreen Spindle,Yes
Copper Beech,Yes
Mount Etna Broom,No
Highclere Holly,Yes
Wild Cherry Double Gean,Yes
Rum Cherry,Yes
Rose,Yes
Bramble,Yes
Japanese rowan,Yes
Service-tree,Yes
Palm,Yes
Australian Tree-fern,No
Southern Blue-gum,No
Caucasian Ash,Yes
Larch,No
Plum-leaved Apple,Yes
Spruce,No
Necklace Poplar,Yes
Rhododenron,No
European White-elm,Yes
Greek Fir,No
Silver Wattle,Yes
Downy Japanese-maple,Yes
Red Buckeye,No
Green Alder,Yes
Butterfly-bush,Yes
Flowering Dogwood,Yes
Willow-leaved Cotoneaster,Yes
Cypress,No
Arizona Cypress,No
Oleaster,Yes
Loquat,Yes
Slippery Elm,Yes
